timestamp,DAL,DAL_rolling_7_day_avg,DAL_rolling_14_day_avg,DAL_rolling_30_day_avg,DAL_rolling_90_day_avg,DAL_7_days_ago,DAL_14_days_ago,DAL_30_days_ago,DAL_90_days_ago,DAL_log_price,DAL_pct_change_7_days,DAL_pct_change_14_days,DAL_pct_change_30_days,DAL_pct_change_90_days
2016-10-03,39.98,,,,,,,,,3.6883793290722537,,,,
2016-10-04,40.15,,,,,,,,,3.6926224403927708,,,,
2016-10-05,40.32,,,,,,,,,3.696847623763113,,,,
2016-10-06,39.94,,,,,,,,,3.6873783279876693,,,,
2016-10-07,38.95,,,,,,,,,3.6622787723167574,,,,
2016-10-10,39.77,,,,,39.98,,,,3.6831128592195994,-0.0052526263131564225,,,
2016-10-11,38.94,39.721428571428575,,,,40.15,,,,3.6620219999440535,-0.030136986301369885,,,
2016-10-12,39.27,39.620000000000005,,,,40.32,,,,3.6704608685899185,-0.026041666666666595,,,
2016-10-13,40.01,39.6,,,,39.94,,,,3.6891294228691436,0.0017526289434151299,,,
2016-10-14,40.04,39.56,,,,38.95,,,,3.68987895444702,0.027984595635429942,,,
2016-10-17,39.35,39.47571428571429,,,,39.77,39.98,,,3.6724959748634123,-0.010560724163942712,-0.015757878939469623,,
2016-10-18,39.46,39.54857142857143,,,,38.94,40.15,,,3.6752875005944694,0.013353877760657502,-0.017185554171855487,,
2016-10-19,40.9,39.71,,,,39.27,40.32,,,3.711130063048756,0.04150751209574727,0.014384920634920592,,
2016-10-20,41.46,40.07,39.895714285714284,,,40.01,39.94,,,3.7247291070076334,0.03624093976505881,0.03805708562844275,,
2016-10-21,41.17,40.34142857142857,39.980714285714285,,,40.04,38.95,,,3.7177098357818132,0.028221778221778286,0.05699614890885748,,
2016-10-24,41.37,40.535714285714285,40.06785714285714,,,39.35,39.77,,,3.72255598047332,0.051334180432020225,0.04023133014835288,,
2016-10-25,41.21,40.70285714285715,40.131428571428565,,,39.46,38.94,,,3.718680945350726,0.04434870755195134,0.058294812532100754,,
2016-10-26,41.4,40.99571428571429,40.23571428571428,,,40.9,39.27,,,3.7232808808312687,0.012224938875305624,0.054239877769289416,,
2016-10-27,41.47,41.28285714285715,40.41571428571428,,,41.46,40.01,,,3.7249702742582897,0.000241196333815678,0.03649087728067985,,
2016-10-28,41.34,41.34571428571429,40.527857142857144,,,41.17,40.04,,,3.7218305542536223,0.004129220306048134,0.032467532467532575,,
