timestamp,AAL,AAL_rolling_7_day_avg,AAL_rolling_14_day_avg,AAL_rolling_30_day_avg,AAL_rolling_90_day_avg,AAL_7_days_ago,AAL_14_days_ago,AAL_30_days_ago,AAL_90_days_ago,AAL_log_price,AAL_pct_change_7_days,AAL_pct_change_14_days,AAL_pct_change_30_days,AAL_pct_change_90_days
2016-10-03,37.7,,,,,,,,,3.629660094453965,,,,
2016-10-04,37.63,,,,,,,,,3.627801604605346,,,,
2016-10-05,37.87,,,,,,,,,3.634159241913703,,,,
2016-10-06,38.17,,,,,,,,,3.6420498667571386,,,,
2016-10-07,37.73,,,,,,,,,3.6304555339762192,,,,
2016-10-10,38.89,,,,,37.7,,,,3.660737148167656,0.03156498673740047,,,
2016-10-11,38.2,38.027142857142856,,,,37.63,,,,3.6428355156125294,0.01514748870581983,,,
2016-10-12,37.38,37.98142857142857,,,,37.87,,,,3.6211358020274167,-0.012939001848428701,,,
2016-10-13,39.24,38.21142857142858,,,,38.17,,,,3.6696966346971625,0.028032486245742737,,,
2016-10-14,38.65,38.32285714285714,,,,37.73,,,,3.654546775033431,0.02438377948582035,,,
2016-10-17,38.58,38.38142857142857,,,,38.89,37.7,,,3.652734007477583,-0.007971200822833691,0.023342175066312875,,
2016-10-18,39.35,38.612857142857145,,,,38.2,37.63,,,3.6724959748634123,0.030104712041884776,0.045708211533351015,,
2016-10-19,40.63,38.86142857142857,,,,37.38,37.87,,,3.7045067099996354,0.08694489031567683,0.07288090837074215,,
2016-10-20,40.59,39.20285714285715,38.615,,,39.24,38.17,,,3.7035217308508064,0.03440366972477068,0.06340057636887612,,
2016-10-21,39.9,39.56285714285714,38.77214285714286,,,38.65,37.73,,,3.686376323895818,0.03234152652005175,0.05751391465677185,,
2016-10-24,39.83,39.64714285714286,38.92928571428571,,,38.58,38.89,,,3.684620397193553,0.032400207361327114,0.02417073797891483,,
2016-10-25,39.69,39.79571428571428,39.059285714285714,,,39.35,38.2,,,3.681099266794974,0.008640406607369665,0.0390052356020941,,
2016-10-26,39.32,39.901428571428575,39.14142857142857,,,40.63,37.38,,,3.671733295278966,-0.032242185577159785,0.05189941144997318,,
2016-10-27,39.91,39.98142857142857,39.29714285714285,,,40.59,39.24,,,3.686626919060642,-0.016752894801675456,0.01707441386340455,,
2016-10-28,40.06,39.9,39.38071428571429,,,39.9,38.65,,,3.6903783302376723,0.004010025062656734,0.03648124191461847,,
2016-10-31,40.6,39.901428571428575,39.55214285714285,,,39.83,38.58,,,3.703768066607687,0.019332161687170554,0.0523587350959047,,
2016-11-01,39.8,39.887142857142855,39.725,,,39.69,39.35,,,3.6838669122903918,0.0027714789619551383,0.011435832274459866,,
2016-11-02,39.71,39.870000000000005,39.75857142857142,,,39.32,40.63,37.7,,3.6816030451431603,0.009918616480162781,-0.02264336697021909,0.05331564986737395,
2016-11-03,39.38,39.82571428571429,39.81071428571429,,,39.91,40.59,37.63,,3.6732580732109796,-0.013279879729390981,-0.02981029810298105,0.04650544778102578,
2016-11-04,39.74,39.88571428571429,39.89357142857143,,,40.06,39.9,37.87,,3.6823582371236707,-0.007988017973040445,-0.0040100250626565566,0.049379456033799965,
2016-11-07,41.49,40.11142857142857,40.04642857142857,,,40.6,39.83,,,3.725452434344777,0.021921182266009864,0.041677127793120855,,
2016-11-08,41.7,40.34571428571429,40.12285714285714,,,39.8,39.69,,,3.730501128804756,0.04773869346733683,0.050642479213907916,,
2016-11-09,42.41,40.604285714285716,40.25285714285714,,,39.71,39.32,38.89,,3.747384183486499,0.06799294887937536,0.07858596134282798,0.09051169966572373,
2016-11-10,42.3,40.96142857142858,40.424285714285716,,,39.38,39.91,38.2,,3.744787086052232,0.07414931437277791,0.059884740666499646,0.10732984293193702,
2016-11-11,42.93,41.42142857142857,40.645714285714284,39.646,,39.74,40.06,37.38,,3.7595708822364693,0.08027176648213381,0.07164253619570637,0.14847512038523267,
2016-11-14,43.4,41.99571428571429,40.910714285714285,39.836,,41.49,40.6,,,3.770459441106359,0.046035189202217316,0.06896551724137924,,
2016-11-15,44.76,42.712857142857146,41.29928571428571,40.07366666666667,,41.7,39.8,,,3.8013148834437245,0.07338129496402866,0.12462311557788948,,
2016-11-16,44.45,43.135714285714286,41.62357142857143,40.293,,42.41,39.71,38.58,,3.794364961959914,0.048101862768215195,0.11936539914379254,0.15215137376879226,
