timestamp,SAVE,SAVE_rolling_7_day_avg,SAVE_rolling_14_day_avg,SAVE_rolling_30_day_avg,SAVE_rolling_90_day_avg,SAVE_7_days_ago,SAVE_14_days_ago,SAVE_30_days_ago,SAVE_90_days_ago,SAVE_log_price,SAVE_pct_change_7_days,SAVE_pct_change_14_days,SAVE_pct_change_30_days,SAVE_pct_change_90_days
2016-10-03,43.74,,,,,,,,,3.778263015248622,,,,
2016-10-04,43.64,,,,,,,,,3.77597416096487,,,,
2016-10-05,43.16,,,,,,,,,3.764914140389934,,,,
2016-10-06,42.99,,,,,,,,,3.76096753050819,,,,
2016-10-07,42.24,,,,,,,,,3.743367639398006,,,,
2016-10-10,42.88,,,,,43.74,,,,3.7584055167625467,-0.01966163694558755,,,
2016-10-11,42.12,42.96714285714285,,,,43.64,,,,3.740522687265775,-0.03483043079743362,,,
2016-10-12,42.17,42.74285714285714,,,,43.16,,,,3.7417090677584683,-0.022937905468025835,,,
2016-10-13,43.58,42.73428571428571,,,,42.99,,,,3.774598329516474,0.013724121888811265,,,
2016-10-14,43.78,42.82285714285714,,,,42.24,,,,3.779177092094717,0.036458333333333315,,,
2016-10-17,43.82,42.941428571428574,,,,42.88,43.74,,,3.7800903341673204,0.02192164179104472,0.0018289894833104319,,
2016-10-18,45.2,43.364285714285714,,,,42.12,43.64,,,3.8110970868381857,0.07312440645773992,0.03574702108157659,,
2016-10-19,47.01,43.95428571428572,,,,42.17,43.16,,,3.850360345036039,0.11477353568887826,0.08920296570898985,,
2016-10-20,47.5,44.722857142857144,43.845000000000006,,,43.58,42.99,,,3.8607297110405954,0.08994951812758151,0.10490811816701553,,
2016-10-21,47.51,45.48571428571428,44.114285714285714,,,43.78,42.24,,,3.86094021519883,0.08519872087711276,0.12476325757575747,,
2016-10-24,46.84,45.951428571428565,44.34285714285714,,,43.82,42.88,,,3.8467375387295166,0.06891830214513928,0.09235074626865673,,
2016-10-25,48.66,46.64857142857143,44.73571428571429,,,45.2,42.12,,,3.8848573373553763,0.07654867256637155,0.15527065527065526,,
2016-10-26,48.09,47.258571428571436,45.10000000000001,,,47.01,42.17,,,3.873074255289571,0.02297383535418008,0.14038415935499174,,
2016-10-27,48.24,47.692857142857136,45.528571428571425,,,47.5,43.58,,,3.87618855241893,0.015578947368421095,0.10692978430472702,,
2016-10-28,48.05,47.84142857142857,45.89785714285715,,,47.51,43.78,,,3.8722421354163012,0.01136602820458849,0.09753312014618538,,
2016-10-31,47.93,47.902857142857144,46.31285714285714,,,46.84,43.82,,,3.86974161317154,0.02327070879590086,0.09379278868096758,,
2016-11-01,47.82,47.94714285714286,46.71642857142857,,,48.66,45.2,,,3.867443962030179,-0.017262638717632478,0.057964601769911445,,
2016-11-02,47.06,47.97857142857142,46.964999999999996,,,48.09,47.01,43.74,,3.8514233832992164,-0.021418174256602227,0.0010636034886195335,0.07590306355738455,
2016-11-03,46.98,47.73857142857143,47.19357142857143,,,48.24,47.5,43.64,,3.849721979230767,-0.026119402985074733,-0.010947368421052697,0.07653528872593941,
2016-11-04,47.02,47.58571428571429,47.42214285714285,,,48.05,47.51,43.16,,3.8505730431119236,-0.021436004162330782,-0.01031361818564502,0.0894346617238185,
2016-11-07,47.63,47.49857142857143,47.59571428571428,,,47.93,46.84,,,3.863462814812769,-0.006259127894846592,0.01686592655849699,,
2016-11-08,48.24,47.52571428571429,47.683571428571426,,,47.82,48.66,,,3.87618855241893,0.008782936010037677,-0.008631319358816166,,
2016-11-09,49.63,47.76857142857143,47.83571428571428,,,47.06,48.09,42.88,,3.9045954895993495,0.05461113472163196,0.03202328966521104,0.1574160447761194,
2016-11-10,51.48,48.291428571428575,48.11928571428571,,,46.98,48.24,42.12,,3.941193382727926,0.09578544061302682,0.0671641791044775,0.2222222222222222,
2016-11-11,51.9,48.98285714285714,48.48071428571428,46.230333333333334,,47.02,48.05,42.17,,3.949318790171843,0.10378562313908965,0.08012486992715924,0.23073274839933594,
2016-11-14,53.39,49.89857142857142,48.81857142857143,46.552,,47.63,47.93,,,3.9776234625120948,0.12093218559731257,0.11391612768620907,,
2016-11-15,52.88,50.73571428571429,49.16071428571429,46.86,,48.24,47.82,,,3.9680251955434307,0.09618573797678276,0.10581346716854877,,
2016-11-16,53.31,51.547142857142866,49.52285714285715,47.19833333333334,,49.63,47.06,43.82,,3.9761239308346696,0.07414870038283296,0.13280917977050574,0.2165677772706527,
2016-11-17,53.87,52.35142857142858,49.93857142857143,47.561,,51.48,46.98,45.2,,3.9865737366924425,0.04642579642579644,0.14665815240527885,0.19181415929203527,
2016-11-18,53.74,52.93857142857143,50.353571428571435,47.94433333333333,,51.9,47.02,47.01,,3.984157603187345,0.03545279383429679,0.1429179072735006,0.14316102956817708,
2016-11-21,52.9,53.14142857142857,50.71642857142857,48.27833333333333,,53.39,47.63,,,3.9684033388642534,-0.00917774864206784,0.1106445517530967,,
