timestamp,ALK,ALK_rolling_7_day_avg,ALK_rolling_14_day_avg,ALK_rolling_30_day_avg,ALK_rolling_90_day_avg,ALK_7_days_ago,ALK_14_days_ago,ALK_30_days_ago,ALK_90_days_ago,ALK_log_price,ALK_pct_change_7_days,ALK_pct_change_14_days,ALK_pct_change_30_days,ALK_pct_change_90_days
2016-10-03,67.09,,,,,,,,,4.206035001574797,,,,
2016-10-04,68.71,,,,,,,,,4.229894749042985,,,,
2016-10-05,68.31,,,,,,,,,4.224056168743758,,,,
2016-10-06,69.09,,,,,,,,,4.2354100025007035,,,,
2016-10-07,68.11,,,,,,,,,4.221124045253227,,,,
2016-10-10,69.91,,,,,67.09,,,,4.247208700523894,0.04203308987926655,,,
2016-10-11,69.33,68.65,,,,68.71,,,,4.238877712954399,0.009023431814874175,,,
2016-10-12,70.43,69.12714285714286,,,,68.31,,,,4.254619308757319,0.03103498755672675,,,
2016-10-13,72.96,69.73428571428572,,,,69.09,,,,4.289911345766076,0.056013894919669856,,,
2016-10-14,72.31,70.30571428571429,,,,68.11,,,,4.28096243218686,0.06166495375128473,,,
2016-10-17,71.94,70.71285714285715,,,,69.91,67.09,,,4.275832438267478,0.029037333714776157,0.07229095245193015,,
2016-10-18,72.11,71.28428571428572,,,,69.33,68.71,,,4.2781927309286685,0.04009808163854033,0.04948333575898713,,
2016-10-19,73.46,71.79142857142857,,,,70.43,68.31,,,4.296741040391521,0.043021439727388706,0.07539159713072743,,
2016-10-20,75.29,72.64285714285714,70.64642857142857,,,72.96,69.09,,,4.321347323862031,0.03193530701754403,0.089738022868722,,
2016-10-21,74.56,73.23285714285714,71.17999999999999,,,72.31,68.11,,,4.311604170377335,0.031116028211865578,0.09469975040375866,,
2016-10-24,73.61,73.32571428571428,71.53,,,71.94,69.91,,,4.298780886070615,0.023213789268835164,0.05292518952939498,,
2016-10-25,72.4,73.33857142857143,71.82214285714285,,,72.11,69.33,,,4.282206299391671,0.00402163361531003,0.04428097504687736,,
2016-10-26,71.13,73.22285714285714,71.96785714285714,,,73.46,70.43,,,4.264509188745424,-0.031717941736999704,0.00993894647167384,,
