timestamp,UAL,UAL_rolling_7_day_avg,UAL_rolling_14_day_avg,UAL_rolling_30_day_avg,UAL_rolling_90_day_avg,UAL_7_days_ago,UAL_14_days_ago,UAL_30_days_ago,UAL_90_days_ago,UAL_log_price,UAL_pct_change_7_days,UAL_pct_change_14_days,UAL_pct_change_30_days,UAL_pct_change_90_days
2016-10-03,53.25,,,,,,,,,3.9749978045895347,,,,
2016-10-04,53.73,,,,,,,,,3.98397150474073,,,,
2016-10-05,53.82,,,,,,,,,3.9856451452987596,,,,
2016-10-06,53.98,,,,,,,,,3.9886136075898584,,,,
2016-10-07,52.82,,,,,,,,,3.9668899068689862,,,,
2016-10-10,54.2,,,,,53.25,,,,3.9926809084456005,0.017840375586854515,,,
2016-10-11,53.52,53.61714285714286,,,,53.73,,,,3.9800554158199732,-0.00390843104410932,,,
2016-10-12,52.88,53.56428571428571,,,,53.82,,,,3.9680251955434307,-0.017465626161278294,,,
2016-10-13,53.69,53.558571428571426,,,,53.98,,,,3.983226764434478,-0.005372360133382719,,,
2016-10-14,53.2,53.46999999999999,,,,52.82,,,,3.9740583963475986,0.007194244604316595,,,
2016-10-17,53.03,53.33428571428572,,,,54.2,53.25,,,3.970857791149039,-0.021586715867158702,-0.004131455399061012,,
2016-10-18,53.68,53.457142857142856,,,,53.52,53.73,,,3.9830404926634264,0.0029895366218235533,-0.0009305788200260033,,
2016-10-19,55.44,53.63428571428572,,,,52.88,53.82,,,4.015301354881648,0.04841149773071095,0.030100334448160487,,
2016-10-20,56.57,54.07,53.84357142857142,,,53.69,53.98,,,4.035478809355064,0.05364127398025708,0.04798073360503897,,
2016-10-21,55.6,54.45857142857143,54.01142857142857,,,53.2,52.82,,,4.018183201256536,0.04511278195488719,0.05263157894736844,,
2016-10-24,55.04,54.651428571428575,54.105000000000004,,,53.03,54.2,,,4.008060193625088,0.03790307373184986,0.015498154981549746,,
2016-10-25,54.63,54.855714285714285,54.16285714285715,,,53.68,53.52,,,4.000583182407627,0.017697466467958323,0.020739910313901332,,
2016-10-26,53.98,54.99142857142857,54.16285714285714,,,55.44,52.88,,,3.9886136075898584,-0.02633477633477635,0.020801815431164793,,
2016-10-27,54.42,55.097142857142856,54.277142857142856,,,56.57,53.69,,,3.9967317333551002,-0.038006010252784134,0.013596572918606891,,
2016-10-28,55.11,55.050000000000004,54.34214285714286,,,55.6,53.2,,,4.009331187895144,-0.008812949640287806,0.03590225563909768,,
2016-10-31,56.23,55.00142857142857,54.535714285714285,,,55.04,53.03,,,4.0294504223041105,0.02162063953488368,0.06034320196115398,,
2016-11-01,56.0,55.058571428571426,54.75857142857143,,,54.63,53.68,,,4.02535169073515,0.025077796082738375,0.043219076005961254,,
2016-11-02,56.14,55.215714285714284,54.93357142857143,,,53.98,55.44,53.25,,4.027848570933736,0.0400148203038163,0.012626262626262678,0.05427230046948358,
2016-11-03,55.94,55.402857142857144,55.12928571428571,,,54.42,56.57,53.73,,4.024279687773814,0.02793090775450195,-0.011136644864769358,0.041131583845151705,
2016-11-04,57.23,55.86714285714286,55.42928571428571,,,55.11,55.6,53.82,,4.047078236421011,0.038468517510433634,0.029316546762589844,0.06335934596804156,
2016-11-07,58.53,56.45428571428571,55.77571428571429,,,56.23,55.04,,,4.069539443303129,0.04090343233149572,0.06340843023255818,,
2016-11-08,59.31,57.05428571428571,56.05214285714286,,,56.0,54.63,,,4.082777925850635,0.0591071428571429,0.08566721581548599,,
2016-11-09,60.13,57.611428571428576,56.306428571428576,,,56.14,53.98,54.2,,4.0965088850514775,0.07107231920199504,0.11393108558725465,0.10940959409594095,
2016-11-10,59.94,58.174285714285716,56.61642857142857,,,55.94,54.42,53.52,,4.0933440618885175,0.07150518412584912,0.10143329658213884,0.11995515695067253,
2016-11-11,60.25,58.761428571428574,56.988571428571426,55.409666666666666,,57.23,55.11,52.88,,4.098502572370764,0.05276952647213006,0.09326800943567412,0.1393721633888048,
2016-11-14,62.94,59.761428571428574,57.582142857142856,55.73266666666667,,58.53,56.23,,,4.142181891636261,0.07534597642234746,0.11933131780188513,,
2016-11-15,66.06,61.02285714285714,58.445,56.14366666666667,,59.31,56.0,,,4.190563419962643,0.11380880121396054,0.1796428571428572,,
2016-11-16,65.5,62.01857142857143,59.23642857142857,56.533,,60.13,56.14,53.03,,4.182050142641207,0.08930650257774816,0.16672604203776273,0.2351499151423722,
2016-11-17,67.86,63.239999999999995,60.14714285714285,56.99566666666667,,59.94,55.94,53.68,,4.2174467593560845,0.13213213213213215,0.21308544869503043,0.2641579731743666,
2016-11-18,68.29,64.40571428571428,61.00857142857142,57.51133333333334,,60.25,57.23,55.44,,4.223763342972998,0.13344398340248972,0.19325528568932396,0.23178210678210695,
2016-11-21,68.99,65.69857142857143,61.936428571428564,58.004333333333335,,62.94,58.53,,,4.233961566558017,0.09612329202414995,0.17871177174098743,,
2016-11-22,69.5,67.02,62.89071428571428,58.537000000000006,,66.06,59.31,,,4.241326752570746,0.05207387223735994,0.17180913842522336,,
2016-11-23,69.88,68.01142857142857,63.88642857142857,59.10366666666666,,65.5,60.13,55.04,,4.246779485265856,0.06687022900763352,0.16214867786462653,0.26962209302325574,
2016-11-25,70.09,68.58714285714285,64.80499999999999,59.650333333333336,,68.29,60.25,53.98,,4.249780130512233,0.026358178357006837,0.16331950207468884,0.2984438680992962,
2016-11-28,69.25,69.12285714285714,65.57071428571429,60.18533333333334,,68.99,62.94,,,4.237723145067448,0.0037686621249457186,0.10025421035907217,,
2016-11-29,69.72,69.38857142857144,66.31428571428572,60.74166666666667,,69.5,66.06,,,4.24448722065182,0.003165467625899264,0.05540417801998178,,
2016-11-30,68.95,69.48285714285714,66.94428571428571,61.25066666666667,,69.88,65.5,56.23,,4.233381604239311,-0.01330852890669709,0.05267175572519088,0.2262137648941847,
2016-12-01,68.47,69.40857142857143,67.55357142857143,61.684999999999995,,,67.86,56.0,,4.226395693132972,,0.00898909519599174,0.22267857142857142,
2016-12-02,69.27,69.37571428571428,68.19785714285715,62.108333333333334,,70.09,68.29,56.14,,4.238011912034514,-0.011699243829362353,0.01435056377214804,0.2338795867474171,
2016-12-05,68.26,69.14428571428572,68.57785714285714,62.53033333333333,,69.25,68.99,,,4.223323943478561,-0.014296028880866353,-0.010581243658501084,,
2016-12-06,70.97,69.27,68.92857142857143,63.06133333333333,,69.72,69.5,,,4.262257252536892,0.017928858290304075,0.02115107913669063,,
2016-12-07,72.43,69.72428571428573,69.42357142857144,63.65466666666667,,68.95,69.88,58.53,,4.282620578207235,0.05047135605511246,0.0364911276473957,0.23748505040150358,
2016-12-08,72.74,70.15571428571428,69.77214285714287,64.28,,68.47,,59.31,,4.286891439558843,0.06236307872060751,,0.22643736300792433,
2016-12-09,75.17,71.04428571428572,70.26357142857142,64.97166666666666,,69.27,70.09,60.13,,4.319752215189378,0.08517395697993368,0.07247824225995146,0.2501247297522035,
2016-12-12,73.24,71.72571428571429,70.56714285714285,65.576,,68.26,69.25,,,4.2937417198063095,0.07295634339290931,0.05761732851985552,,
2016-12-13,72.55,72.19428571428571,70.785,66.12,,70.97,69.72,,,4.2842759793301965,0.022262927997745503,0.0405909351692484,,
2016-12-14,72.94,72.86285714285714,71.00357142857143,66.68466666666667,,72.43,68.95,62.94,,4.289637185380534,0.007041281237056342,0.05786802030456845,0.15888147442008263,
2016-12-15,74.79,73.40857142857143,71.33928571428571,67.30633333333334,,72.74,68.47,66.06,,4.314684186203576,0.028182568050591304,0.09230319848108672,0.13215258855585837,
2016-12-16,74.42,73.69285714285715,71.70857142857143,67.92233333333333,,75.17,69.27,65.5,,4.309724722918476,-0.009977384594918185,0.07434675905875568,0.13618320610687026,
2016-12-19,74.48,73.94142857142857,72.04857142857142,68.49733333333333,,73.24,68.26,,,4.310530632968812,0.01693063899508478,0.09112217990038088,,
