timestamp,JBLU,JBLU_rolling_7_day_avg,JBLU_rolling_14_day_avg,JBLU_rolling_30_day_avg,JBLU_rolling_90_day_avg,JBLU_7_days_ago,JBLU_14_days_ago,JBLU_30_days_ago,JBLU_90_days_ago,JBLU_log_price,JBLU_pct_change_7_days,JBLU_pct_change_14_days,JBLU_pct_change_30_days,JBLU_pct_change_90_days
2016-10-03,17.66,,,,,,,,,2.8713021951758138,,,,
2016-10-04,17.83,,,,,,,,,2.8808824318750488,,,,
2016-10-05,17.86,,,,,,,,,2.882563575448353,,,,
2016-10-06,17.62,,,,,,,,,2.8690346205080335,,,,
2016-10-07,17.39,,,,,,,,,2.855895328366192,,,,
2016-10-10,17.84,,,,,17.66,,,,2.8814431271518632,0.010192525481313688,,,
2016-10-11,17.86,17.722857142857144,,,,17.83,,,,2.882563575448353,0.0016825574873808827,,,
2016-10-12,17.77,17.73857142857143,,,,17.86,,,,2.87751164216656,-0.005039193729003352,,,
2016-10-13,18.22,17.794285714285714,,,,17.62,,,,2.9025198918318122,0.034052213393870476,,,
2016-10-14,17.84,17.791428571428572,,,,17.39,,,,2.8814431271518632,0.02587694077055775,,,
2016-10-17,17.77,17.812857142857144,,,,17.84,17.66,,,2.87751164216656,-0.003923766816143513,0.006228765571913897,,
2016-10-18,17.78,17.86857142857143,,,,17.86,17.83,,,2.8780742300857587,-0.0044792833146695575,-0.0028042624789678724,,
2016-10-19,18.24,17.925714285714285,,,,17.77,17.86,,,2.9036169846461855,0.026449071468767522,0.021276595744680795,,
2016-10-20,18.6,18.03142857142857,17.877142857142857,,,18.22,17.62,,,2.9231615807191558,0.020856201975850856,0.05561861520998867,,
2016-10-21,18.57,18.145714285714284,17.94214285714286,,,17.84,17.39,,,2.9215473753646144,0.04091928251121078,0.06785508913168485,,
2016-10-24,18.75,18.22142857142857,18.00785714285714,,,17.77,17.84,,,2.9311937524164198,0.05514912774338776,0.05100896860986548,,
2016-10-25,18.07,18.254285714285714,18.02285714285714,,,17.78,17.86,,,2.8942531046041373,0.016310461192350908,0.011758118701007887,,
2016-10-26,17.55,18.222857142857144,18.017857142857142,,,18.24,17.77,,,2.865053949911875,-0.037828947368420934,-0.012380416432189019,,
2016-10-27,17.36,18.162857142857142,18.01571428571429,,,18.6,18.22,,,2.854168709232204,-0.06666666666666676,-0.047200878155872636,,
2016-10-28,17.26,18.022857142857145,17.974285714285717,,,18.57,17.84,,,2.848391685655282,-0.07054388799138388,-0.032511210762331745,,
2016-10-31,17.48,17.86285714285714,17.947142857142858,,,18.75,17.77,,,2.8610573702273894,-0.06773333333333331,-0.016319639842431018,,
2016-11-01,17.28,17.678571428571427,17.912142857142857,,,18.07,17.78,,,2.8495497633759097,-0.04371887105700051,-0.028121484814398197,,
2016-11-02,16.96,17.422857142857143,17.822142857142858,,,17.55,18.24,17.66,,2.830857630363757,-0.03361823361823361,-0.0701754385964911,-0.039637599093997694,
2016-11-03,16.93,17.259999999999998,17.75714285714286,,,17.36,18.6,17.83,,2.829087196145044,-0.024769585253456204,-0.08978494623655922,-0.05047672462142449,
2016-11-04,17.01,17.18285714285714,17.702857142857145,,,17.26,18.57,17.86,,2.8338014064077703,-0.014484356894553881,-0.08400646203554113,-0.047592385218364945,
2016-11-07,17.85,17.252857142857145,17.707857142857144,,,17.48,18.75,,,2.8820035082256483,0.021167048054919965,-0.047999999999999925,,
2016-11-08,18.25,17.394285714285715,17.708571428571428,,,17.28,18.07,,,2.9041650800285006,0.05613425925925919,0.009961261759822895,,
2016-11-09,18.47,17.535714285714285,17.699285714285715,,,16.96,17.55,17.84,,2.9161477942111484,0.0890330188679244,0.052421652421652316,0.03531390134529142,
2016-11-10,19.2,17.81,17.744285714285716,,,16.93,17.36,17.86,,2.954910279033736,0.1340815121086828,0.10599078341013825,0.07502799552071668,
2016-11-11,19.25,18.13714285714286,17.78,17.884,,17.01,17.26,17.77,,2.9575110607337933,0.1316872427983538,0.1152954808806488,0.08328643781654477,
2016-11-14,19.73,18.537142857142857,17.89857142857143,17.953,,17.85,17.48,,,2.982140320034524,0.10532212885154055,0.12871853546910755,,
2016-11-15,20.44,19.027142857142856,18.105,18.040000000000003,,18.25,17.28,,,3.017493765335504,0.12000000000000006,0.18287037037037038,,
2016-11-16,20.21,19.364285714285717,18.308571428571433,18.118333333333332,,18.47,16.96,17.77,,3.00617753141553,0.09420682187330819,0.19162735849056603,0.13731007315700627,
2016-11-17,20.74,19.72,18.557142857142857,18.22233333333333,,19.2,16.93,17.78,,3.032064202801381,0.0802083333333333,0.22504430005906667,0.16647919010123718,
2016-11-18,20.73,20.042857142857144,18.789285714285715,18.333666666666666,,19.25,17.01,18.24,,3.0315819264476884,0.0768831168831169,0.21869488536155193,0.13651315789473698,
